AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
18,Female,Further,White,31,10,48,English,R_1lcaBAGJNNI2kju,PSYC122
18,Female,Further,White,35,10,40,English,R_AG4jiTm8oxmuOOZ,PSYC122
18,Male,Further,Asian,35,9,47,Other,R_2Ckb6YXLPGwYSvg,PSYC122
18,Female,Further,White,35,8,52,English,R_27JY5xHHcMs7jGi,PSYC122
19,Female,Further,White,33,9,41,English,R_1DtJ4mrOXmxre01,PSYC122
19,Female,Further,Mixed,36,5,52,English,R_PRFQFInzSS6T8e5,PSYC122
18,Female,Further,White,27,10,40,English,R_OvCKBtcNgZ61En7,PSYC122
19,Female,Further,White,30,9,58,English,R_2v6QKhexIfefk5c,PSYC122
18,Female,Further,White,26,7,52,English,R_1diBNAuzsM3IRyx,PSYC122
19,Female,Further,White,38,4,50,English,R_Ab7lWHpYejFRDMJ,PSYC122
19,Female,Further,White,26,8,55,English,R_3QJAyG4WffJF8Jj,PSYC122
19,Female,Further,White,28,9,41,English,R_2COmL4bjyYGrq1f,PSYC122
19,Female,Further,White,31,7,38,English,R_2bIWkifPugWuyWZ,PSYC122
19,Female,Further,White,24,6,47,English,R_11Zp9DQMbCLUYGR,PSYC122
22,Female,Further,White,32,8,54,English,R_3mlq7srR6DKYD4M,PSYC122
18,Female,Further,White,37,10,40,English,R_CZAcx6qbxHxAwYp,PSYC122
18,Female,Further,White,35,10,50,English,R_3NEctjt5cRIBZ4d,PSYC122
22,Female,Further,White,40,9,60,English,R_20SXRLc9UB5ki7F,PSYC122
20,Female,Secondary,White,29,6,43,English,R_1F2rjWa0x3KW25O,PSYC122
19,Female,Further,White,40,6,51,English,R_2rCHvq0otzksf9G,PSYC122
18,Female,Further,White,30,3,48,English,R_2wLGHjrkmpezLFY,PSYC122
19,Female,Further,White,40,7,50,English,R_1n3pzuEkgAcjF5V,PSYC122
19,Female,Further,White,31,8,49,English,R_su85AohLlI9yTsd,PSYC122
