ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_1lcaBAGJNNI2kju,1,7.6,18,Female,Further,White,31,10,48,English,PSYC122
R_AG4jiTm8oxmuOOZ,0.9,7.6,18,Female,Further,White,35,10,40,English,PSYC122
R_2Ckb6YXLPGwYSvg,0.95,7.2,18,Male,Further,Asian,35,9,47,Other,PSYC122
R_27JY5xHHcMs7jGi,0.9,6.8,18,Female,Further,White,35,8,52,English,PSYC122
R_1DtJ4mrOXmxre01,0.85,6.4,19,Female,Further,White,33,9,41,English,PSYC122
R_PRFQFInzSS6T8e5,0.9,6.2,19,Female,Further,Mixed,36,5,52,English,PSYC122
R_OvCKBtcNgZ61En7,1,5.4,18,Female,Further,White,27,10,40,English,PSYC122
R_2v6QKhexIfefk5c,0.85,7.6,19,Female,Further,White,30,9,58,English,PSYC122
R_1diBNAuzsM3IRyx,0.85,6.2,18,Female,Further,White,26,7,52,English,PSYC122
R_Ab7lWHpYejFRDMJ,0.85,7.6,19,Female,Further,White,38,4,50,English,PSYC122
R_3QJAyG4WffJF8Jj,0.9,8.4,19,Female,Further,White,26,8,55,English,PSYC122
R_2COmL4bjyYGrq1f,0.85,5.4,19,Female,Further,White,28,9,41,English,PSYC122
R_2bIWkifPugWuyWZ,0.95,6.6,19,Female,Further,White,31,7,38,English,PSYC122
R_11Zp9DQMbCLUYGR,0.95,6.6,19,Female,Further,White,24,6,47,English,PSYC122
R_3mlq7srR6DKYD4M,0.9,5.6,22,Female,Further,White,32,8,54,English,PSYC122
R_CZAcx6qbxHxAwYp,0.8,6.8,18,Female,Further,White,37,10,40,English,PSYC122
R_3NEctjt5cRIBZ4d,0.8,7.6,18,Female,Further,White,35,10,50,English,PSYC122
R_20SXRLc9UB5ki7F,0.95,7.8,22,Female,Further,White,40,9,60,English,PSYC122
R_1F2rjWa0x3KW25O,0.8,6,20,Female,Secondary,White,29,6,43,English,PSYC122
R_2rCHvq0otzksf9G,0.9,5.2,19,Female,Further,White,40,6,51,English,PSYC122
R_2wLGHjrkmpezLFY,0.8,7.2,18,Female,Further,White,30,3,48,English,PSYC122
R_1n3pzuEkgAcjF5V,0.9,6.6,19,Female,Further,White,40,7,50,English,PSYC122
R_su85AohLlI9yTsd,0.9,7.8,19,Female,Further,White,31,8,49,English,PSYC122
R_1IKkqTuD8pUC3L0,0.9,6.8,18,Female,Further,Mixed,29,9,43,English,PSYC122
R_1Q9P9ANUfDiFfcW,0.9,6.6,18,Female,Further,Asian,35,9,51,Other,PSYC122
R_1mgUEAGbn97nwQ5,0.95,7.4,19,Female,Further,White,34,10,48,English,PSYC122
R_12c2eGstiucsOlg,0.95,8.4,18,Female,Further,Black,29,8,47,English,PSYC122
R_2wQDKNn8DT6jYgi,0.95,5.8,20,Female,Further,White,31,9,42,Other,PSYC122
R_21tV9AwAxOBL6xM,0.85,9,20,Female,Further,Asian,25,11,59,Other,PSYC122
R_1meCsg3zy0WdTvl,0.85,6.8,19,Male,Further,White,37,5,48,English,PSYC122
R_2E5mgVeIuW3exol,0.85,7.8,21,Female,Secondary,White,39,8,51,English,PSYC122
R_2rYPmJt1SdUVkdB,0.9,6.8,19,Female,Further,White,32,8,37,English,PSYC122
R_2CCArkbihFlMtrE,0.9,6.8,21,Female,Further,White,37,7,46,English,PSYC122
R_1JWsIzSkYqVyUDg,0.65,5,18,Female,Further,White,30,5,48,English,PSYC122
R_Qiyq7giYqePjsI1,0.9,7.4,18,Female,Further,White,36,4,42,English,PSYC122
R_yISV1rZS51ztlrH,1,7.6,19,Male,Further,White,40,8,49,English,PSYC122
R_ZBSaRD8yuHBhG3D,0.95,7,18,Female,Further,White,36,9,59,English,PSYC122
R_2RaXklWw9O03Gw8,0.9,7.8,19,Female,Further,White,35,9,52,English,PSYC122
R_29iCxajSEmVYVrY,0.9,6.6,19,Female,Further,White,26,10,30,English,PSYC122
R_1N9pW2sGBUaHOEL,0.9,7,18,Female,Further,White,37,6,51,English,PSYC122
R_3oXuoZqGM5UhxBP,0.8,7.2,18,Female,Further,Black,32,10,53,English,PSYC122
R_87x6yxnxFEzGZbP,0.85,8,21,Female,Further,White,32,9,52,English,PSYC122
R_2z5AQIKSqoBYJNg,0.95,7.2,19,Female,Further,White,28,6,49,English,PSYC122
R_1dnrhFVZbDQGNyx,0.75,8.4,20,Female,Further,White,30,7,43,English,PSYC122
R_SJEO6xOzRqXYesx,1,9,19,Female,Further,White,33,10,51,English,PSYC122
R_2B5MLi7jNGCMaJ3,0.95,7.6,18,Female,Further,White,31,7,56,English,PSYC122
R_1qTXIciwwDPemw5,0.75,6.6,19,Female,Further,White,33,9,36,English,PSYC122
R_2CNtHVqy594Y9DW,0.9,9,19,Female,Further,White,39,12,50,English,PSYC122
R_BM5dpla7yDHtjC9,0.9,5.8,18,Female,Further,White,34,9,45,English,PSYC122
R_3iKK7AH03T6bbIN,0.9,4.4,18,Female,Further,White,34,8,45,English,PSYC122
R_1GwugadQLUcLgA5,0.95,5.4,19,Female,Further,White,29,7,50,English,PSYC122
R_Oqbx9KMzcHaiUyB,0.95,7.2,19,Male,Further,Asian,33,9,46,Other,PSYC122
