participant_ID,mean.acc,mean.self,study,AGE,SHIPLEY,HLVA,FACTOR3,QRITOTAL,GENDER,EDUCATION,ETHNICITY
studyone.1,0.48999999999999994,7.96,studyone,34,33,7,53,11,Non-binary,Higher,White
studyone.10,0.85,7.279999999999999,studyone,25,33,7,60,11,Female,Higher,White
studyone.100,0.8200000000000001,7.36,studyone,43,40,8,46,12,Male,Further,White
studyone.101,0.94,7.88,studyone,46,33,11,51,15,Male,Higher,White
studyone.102,0.58,6.96,studyone,18,32,3,51,12,Male,Secondary,Mixed
studyone.103,0.8400000000000001,7.88,studyone,19,37,13,45,19,Female,Further,Asian
studyone.104,0.64,8.96,studyone,21,23,9,63,10,Female,Further,White
studyone.105,0.86,7.12,studyone,34,36,6,56,14,Male,Higher,Asian
studyone.106,0.8200000000000001,7.52,studyone,60,37,7,53,14,Male,Higher,White
studyone.107,0.92,8.76,studyone,29,34,8,34,18,Female,Further,White
studyone.108,0.8200000000000001,8.68,studyone,21,31,10,55,13,Male,Higher,Black
studyone.109,0.93,8.04,studyone,62,38,13,60,16,Female,Higher,White
studyone.11,0.8899999999999999,7.76,studyone,69,40,10,50,15,Female,Higher,White
studyone.110,0.88,7.48,studyone,19,40,11,59,17,Female,Further,Asian
studyone.111,0.78,7.92,studyone,21,38,8,61,14,Female,Further,Asian
studyone.112,0.76,6.2,studyone,43,34,6,43,13,Female,Secondary,White
studyone.113,0.5700000000000001,3.480000000000001,studyone,21,37,10,40,13,Male,Higher,White
studyone.114,0.6599999999999999,4.2,studyone,24,25,10,43,10,Female,Higher,Mixed
studyone.115,0.94,7.52,studyone,66,37,10,55,17,Female,Higher,White
studyone.116,0.89,8.24,studyone,33,40,12,58,15,Male,Further,White
studyone.117,0.8200000000000001,5.28,studyone,57,39,10,42,8,Male,Higher,White
studyone.118,0.8200000000000001,7.96,studyone,24,34,7,46,15,Male,Higher,Black
studyone.119,0.8,6.64,studyone,30,27,6,47,12,Female,Higher,White
studyone.12,0.95,7.76,studyone,23,37,9,51,16,Female,Higher,White
studyone.120,0.5100000000000001,3.68,studyone,25,38,12,58,7,Female,Higher,White
studyone.121,0.43,3.44,studyone,30,39,6,36,13,Female,Higher,White
studyone.122,0.5900000000000001,5.04,studyone,35,26,6,37,10,Female,Secondary,Asian
studyone.123,0.79,5.48,studyone,37,31,5,41,13,Male,Further,White
studyone.124,0.95,7.04,studyone,24,40,10,40,14,Male,Higher,White
studyone.125,0.72,5.92,studyone,27,36,7,46,14,Female,Higher,White
studyone.126,0.89,9,studyone,47,39,11,63,12,Female,Higher,White
studyone.127,0.58,5,studyone,37,35,8,36,8,Male,Secondary,White
studyone.128,0.86,6.36,studyone,28,38,9,47,17,Female,Higher,White
studyone.129,0.84,8,studyone,37,36,9,44,11,Female,Higher,White
studyone.13,0.83,7,studyone,26,33,6,51,10,Male,Secondary,Mixed
studyone.130,0.8,7.36,studyone,34,39,12,55,12,Female,Higher,White
studyone.131,0.85,6.48,studyone,27,32,8,55,14,Female,Further,White
studyone.132,0.76,8.48,studyone,52,34,9,52,8,Female,Higher,White
studyone.133,0.75,5.04,studyone,30,38,10,38,10,Male,Higher,White
studyone.134,0.9,7.64,studyone,20,34,8,56,15,Non-binary,Further,White
studyone.135,0.96,8.84,studyone,23,40,12,53,15,Male,Higher,White
studyone.136,0.85,7.5600000000000005,studyone,21,31,10,54,10,Female,Higher,White
studyone.137,0.89,5.96,studyone,45,39,10,47,13,Female,Higher,Asian
studyone.138,0.75,5.6,studyone,31,37,8,41,10,Male,Higher,White
studyone.139,0.8,6.32,studyone,60,36,10,55,12,Female,Higher,White
studyone.14,0.94,8.56,studyone,30,34,11,55,17,Female,Higher,White
studyone.140,0.76,4.520000000000001,studyone,19,40,9,47,16,Male,Secondary,White
studyone.141,0.92,7.8,studyone,52,38,10,50,15,Female,Higher,White
studyone.142,0.94,8.52,studyone,55,37,11,47,13,Male,Further,White
studyone.143,0.89,6.32,studyone,74,36,8,41,16,Male,Higher,White
studyone.144,0.92,6.96,studyone,40,34,10,41,16,Female,Higher,White
studyone.145,0.83,5.5600000000000005,studyone,32,30,7,45,12,Male,Higher,Asian
studyone.146,0.8,7.2,studyone,42,33,8,54,10,Male,Further,White
studyone.147,0.89,6.92,studyone,26,34,8,46,13,Female,Further,White
studyone.148,0.8400000000000001,7.12,studyone,22,37,8,49,16,Male,Higher,White
studyone.149,0.8600000000000001,5.8,studyone,34,32,10,47,15,Female,Higher,White
studyone.15,0.89,7.48,studyone,45,40,12,50,15,Female,Secondary,White
studyone.150,0.83,8.2,studyone,43,32,8,58,17,Female,Further,White
studyone.151,0.74,5.239999999999999,studyone,20,32,9,37,13,Female,Further,White
studyone.152,0.64,7.96,studyone,50,38,5,59,10,Female,Further,White
studyone.153,0.86,7.96,studyone,56,35,10,57,14,Male,Further,Mixed
studyone.154,0.8,5.4,studyone,39,36,9,51,16,Male,Higher,White
studyone.155,0.7600000000000001,6.16,studyone,28,28,3,51,13,Female,Secondary,White
studyone.156,0.88,7.6,studyone,34,38,10,47,14,Female,Higher,Asian
studyone.157,0.78,8.92,studyone,38,39,8,63,17,Female,Further,White
studyone.158,0.9299999999999999,7.28,studyone,31,36,9,57,11,Female,Higher,White
studyone.159,0.77,7.119999999999999,studyone,59,31,9,51,10,Female,Secondary,White
studyone.16,0.9,6.72,studyone,28,35,6,45,15,Male,Higher,White
studyone.160,0.99,8.12,studyone,44,38,11,56,14,Female,Higher,White
studyone.161,0.92,6.279999999999999,studyone,46,40,10,48,17,Male,Higher,White
