participant_ID,mean.acc,mean.self,study,AGE,SHIPLEY,HLVA,FACTOR3,QRITOTAL,GENDER,EDUCATION,ETHNICITY
studytwo.1,0.41071428571428575,6.071428571428571,studytwo,26,27,6,50,9,Female,Higher,Asian
studytwo.10,0.6071428571428571,8.5,studytwo,38,24,9,58,15,Female,Secondary,White
studytwo.100,0.875,8.928571428571429,studytwo,66,40,13,60,20,Female,Higher,White
studytwo.101,0.9642857142857143,8.5,studytwo,21,31,11,59,14,Female,Higher,White
studytwo.102,0.7142857142857142,7.071428571428571,studytwo,74,35,7,52,18,Male,Higher,White
studytwo.103,0.7678571428571429,5.071428571428571,studytwo,18,40,11,54,15,Female,Further,White
studytwo.104,0.7857142857142858,7.2142857142857135,studytwo,53,36,7,52,18,Female,Higher,White
studytwo.105,0.625,7,studytwo,35,37,8,56,15,Male,Higher,White
studytwo.106,0.6607142857142857,7.071428571428571,studytwo,29,35,8,47,14,Female,Higher,White
studytwo.107,0.8214285714285715,6.5,studytwo,20,37,14,45,14,Male,Higher,White
studytwo.108,0.7142857142857142,6.5,studytwo,24,32,7,47,14,Female,Higher,White
studytwo.109,0.8035714285714286,7.071428571428571,studytwo,25,34,13,60,17,Non-binary,Higher,White
studytwo.11,0.5357142857142857,4.071428571428571,studytwo,44,30,5,33,7,Male,Secondary,White
studytwo.110,0.8571428571428571,7.714285714285714,studytwo,43,29,10,50,12,Male,Further,White
studytwo.111,0.75,6.857142857142857,studytwo,30,28,8,48,13,Male,Further,White
studytwo.112,0.625,6.142857142857143,studytwo,25,25,6,41,11,Female,Further,Mixed
studytwo.113,0.875,7.2857142857142865,studytwo,29,31,11,48,16,Female,Higher,White
studytwo.114,0.7321428571428571,6.642857142857143,studytwo,43,40,10,46,14,Female,Higher,White
studytwo.115,0.7857142857142858,7,studytwo,22,28,7,44,11,Female,Higher,White
studytwo.116,0.6071428571428572,6.5,studytwo,25,34,10,61,17,Male,Higher,White
studytwo.117,0.8392857142857142,6.785714285714286,studytwo,27,36,11,48,17,Female,Higher,White
studytwo.118,0.7857142857142858,7.785714285714286,studytwo,33,32,8,51,14,Male,Higher,White
studytwo.119,0.8571428571428571,7.785714285714286,studytwo,45,40,12,48,14,Female,Higher,White
studytwo.12,0.9285714285714286,6.428571428571429,studytwo,55,40,11,55,15,Female,Higher,White
studytwo.120,0.4642857142857143,5.857142857142857,studytwo,31,26,7,50,13,Female,Further,White
studytwo.121,0.8035714285714285,8.357142857142858,studytwo,25,35,8,49,16,Female,Higher,White
studytwo.122,0.9107142857142857,6.785714285714286,studytwo,47,39,12,61,13,Male,Higher,White
studytwo.123,0.6607142857142858,7.285714285714286,studytwo,37,24,10,46,14,Female,Higher,White
studytwo.124,0.625,5.142857142857143,studytwo,40,29,6,29,10,Female,Further,White
studytwo.125,0.6607142857142858,6.214285714285714,studytwo,41,32,6,52,13,Female,Further,White
studytwo.126,0.8392857142857143,6.857142857142857,studytwo,38,36,9,49,10,Female,Higher,White
studytwo.127,0.6964285714285715,5.5,studytwo,26,34,5,40,17,Female,Higher,White
studytwo.128,0.6785714285714286,7.785714285714286,studytwo,23,39,10,54,7,Male,Further,White
studytwo.129,0.7678571428571429,8.071428571428571,studytwo,46,40,10,59,12,Male,Higher,White
studytwo.13,0.9285714285714286,7.428571428571429,studytwo,19,35,10,50,14,Male,Further,Asian
studytwo.130,0.6428571428571429,7.214285714285714,studytwo,30,35,11,54,13,Female,Higher,White
studytwo.131,0.5535714285714285,8,studytwo,20,23,8,57,9,Female,Higher,Asian
studytwo.132,0.625,8.285714285714286,studytwo,47,37,5,59,16,Female,Further,White
studytwo.133,0.9464285714285714,7.785714285714286,studytwo,30,39,11,48,19,Female,Higher,White
studytwo.134,0.5714285714285714,7.714285714285714,studytwo,58,37,7,51,12,Male,Secondary,White
studytwo.135,0.875,7.2142857142857135,studytwo,42,37,11,53,16,Female,Higher,White
studytwo.136,0.8214285714285714,6.642857142857143,studytwo,19,39,10,47,17,Female,Further,White
studytwo.137,0.6964285714285714,7.785714285714286,studytwo,36,33,9,52,14,Male,Higher,White
studytwo.138,0.8035714285714286,7.714285714285714,studytwo,43,39,4,47,12,Female,Secondary,White
